Track name,Artist name,Album,ISRC
Time,Tom Waits,Rain Dogs,USIR28500399
Through The Dark,Alexi Murdoch,Towards The Sun,DED621000529
A Slow Parade,A.A. Bondy,When the Devil's Loose,USFP70919803
Kiss,Scout Niblett,This Fool Can Die Now,GBBNZ0700042
Keep Me in Your Heart,Warren Zevon,The Wind,USAR50311099
Happiness,Grant Lee Buffalo,Mighty Joe Moon,GBANC9400042
Hallelujah,Jeff Buckley,Grace,USSM19400915
Stranger In A Strange Land,Leon Russell,Leon Russell And The Shelter People (Bonus Tracks),USSH48900002
Colors,Amos Lee,Amos Lee,USBN20400573
Summer's End,John Prine,The Tree of Forgiveness,USA2A1804604
If We Have Each Other,Alec Benjamin,Narrated For You,USAT21804357
Pain in My Heart,Otis Redding,Soul Manifesto: 1964-1970,USAT10000010
Orange Sky,Alexi Murdoch,Four Songs,US4B80400002
Lost Song,Ólafur Arnalds,Found Songs,GBWZD0901705
So Far,Ólafur Arnalds,Broadchurch (Music From The Original TV Series),GBUM71406782
Cigarette Daydreams,Cage The Elephant,Melophobia,USRC11301169
Euphoria,Motopony,Motopony,USW3R1000028
A Soft Place To Land,Kathleen Edwards,Voyageur,USZO11114503
Black Moon,Wilco,The Whole Love (Deluxe Edition),USEP41120006
Be the Song,Foy Vance,Be the Song,TCABD1264943
Simply Human,Morgan Taylor Reid,Simply Human,USTCG1094902
Waking Life,Schuyler Fisk,Waking Life - Single,USXAN1000026
Re: Stacks,Bon Iver,"For Emma, Forever Ago",US38Y0811509
Holocene,Bon Iver,Bon Iver,US38Y1113503
Passing Afternoon,Iron & Wine,Our Endless Numbered Days,USSUB0400105
Heaven,Avicii,TIM,SE5R71900203
Wake Me Up,Avicii,True,SEUM71301326
The Nights,Avicii,The Days / Nights,CH3131340464
SOS (feat. Aloe Blacc),Avicii,TIM,SE5R71900201
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),SE5R71700101
Pale Blue Eyes,The Velvet Underground,The Velvet Underground (45th Anniversary / Deluxe Edition),USPR36909016
Thank You for the Offer,Chip Taylor,In Sympathy of a Heartbreak,USYVC1907306
Come Home Safe,Trent Dabbs,Come Home Safe,TCADJ1764319
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",USUM71815958
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",USUM71900764
everything i wanted,Billie Eilish,everything i wanted,USUM71922577
No Time To Die,Billie Eilish,No Time To Die,USUM72002771
Bashed Out,This Is The Kit,Bashed Out,UST841504405
Shotgun,George Ezra,Staying at Tamara's,GBARL1701372
5AM,Amber Run,5AM (Expanded Edition),GBARL1400312
Cigarettes On Patios,BabyJake,Cigarettes On Patios,USUM71904051
Way She Sings,Ade Mai,Way She Sings,GBMA21913547
Lost Boy,Ruth B.,Lost Boy,USSM11506787
Hey Brother,Avicii,True,CH3131340084
Waiting For Love,Avicii,Stories,CHB701400134
For A Better Day,Avicii,Stories,CHB701400189
Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),SE5R71700108
What Would I Change It To (feat. Aluna),Avicii,AVĪCI (01),SE5R71700105
Feeling Good,Nina Simone,I Put A Spell On You,USPR36500094
Father And Son,Yusuf / Cat Stevens,Tea for the Tillerman,GBAAN7000042
Burning Memories,Cristóvam,Burning Memories,ushm21972808
Wonderwall,Ryan Adams,Love Is Hell,USMR10300309
Spirit Cold,Tall Heights,Neptune,USQX91601335
The Wolves (Act I and II),Bon Iver,"For Emma, Forever Ago",US38Y0811504
The Wolves,Ben Howard,Every Kingdom,GBUM71106249
Thoughts,Michael Schulte,The Arising,DEPT21400004
One Man Town,Elmore,One Man Town,TCADY1810631
Willow Tree March,The Paper Kites,Woodland,TCAAY1166507
High Hopes,Kodaline,In A Perfect World (Expanded Edition),GBDVX1200014
All I Want,Kodaline,In A Perfect World (Expanded Edition),GBDVX1200008
What A Wonderful World,Louis Armstrong,What A Wonderful World,USMC16758823
Waiting On An Angel,Ben Harper,By My Side (Retrospective),USVI29400011
Tired of Being Alone,Al Green,Gets Next To You,US2HK0914104
"Take Me Home, Country Roads - Original Version",John Denver,"Poems, Prayers and Promises",USRC11100481
Firestone,Kygo,Cloud Nine,SEBGA1400887
Stay (feat. Maty Noyes),Kygo,Stay (feat. Maty Noyes),SEBGA1500364
Some Devil,Dave Matthews,Some Devil,USRC10301316
The Show,Lenka,Lenka (Expanded Edition),USSM10802201
Desire,Ryan Adams,Demolition,USMR10200276
Night,Bill Callahan,Woke On A Whaleheart,US58L0733208
Catch & Release - Deepend Remix,Matt Simons,When The Lights Go Down,NLE3T1400013
Catch & Release,Matt Simons,Catch & Release,NLE3T1400002
Let Her Go,Passenger,All The Little Lights,GBMQN1100004
Just Breathe,Pearl Jam,Backspacer,USA320900005
Hurt,Johnny Cash,American IV: The Man Comes Around,USDJ20200650
Fade Into You,Mazzy Star,So Tonight That I Might See,USCA29300105
Into Dust,Mazzy Star,So Tonight That I Might See,USCA29300475
Good Book,Ezra Furman,Sex Education Original Soundtrack,GBBRP1651002
Could It Be Another Change,The Samples,The Samples,USA6B9300304
Asleep - 2011 Remaster,The Smiths,Louder Than Bombs,GBCRL1100079
Come and Find Me,Josh Ritter,Golden Age Of Radio,USTC40881787
All The Faces,Creed Bratton,Coarsegold,usx9p0679365
I'm So Lonesome I Could Cry - Single Version,Hank Williams,The Complete Hank Williams,USPR34900126
Rivers And Roads,The Head And The Heart,The Head And The Heart,GBUM71101813
Good Days,Joe Purdy,Take My Blanket and Go,usx9p0730945
Yesterday Was Hard On All Of Us,Fink,Perfect Darkness,GBCFB1102102
Looking Too Closely,Fink,Hard Believer,GBCFB1400808
Wait for Me,Motopony,Motopony,USW3R1000029
Creatures - Acoustic,Shannon Saunders,Creatures (Acoustic),US23A1500545
If Only,Fink,Distance and Time,GBCFB0700802
All of Me,John Legend,Love In The Future (Expanded Edition),USSM11303954
About Today,The National,Cherry Tree,USI4R0508291
Promise,Ben Howard,Every Kingdom,GBUM71106371
The Wisp Sings,Winter Aid,The Wisp Sings,IEJIQ1300001
The Scientist,Coldplay,A Rush of Blood to the Head,GBAYE0200772
Fix You,Coldplay,X&Y,GBAYE0500605
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,GBAYE0800265
Talk To Myself,Avicii,Stories,CHB701400192
Broken Arrows,Avicii,Stories,CHB701400188
Trouble,Avicii,Stories,CHB701400203
Hymn for the Weekend,Coldplay,A Head Full of Dreams,GBAYE1500979
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,GBAYE1500981
Up&Up,Coldplay,A Head Full of Dreams,GBAYE1500987
Buckskin Stallion Blues,Amy Annelle,"Three Billboards Outside Ebbing, Missouri (Original Motion Picture Soundtrack)",USCXG1200240
Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),USFM91300095
Little Giant,Roo Panes,Little Giant,GB5UQ1400015
Flume,Bon Iver,"For Emma, Forever Ago",US38Y0811501
Stay With Me,NO,"Bands Under the Radar, Vol. 8: Songs About Love & Seduction",TCADJ1716209
Normal Song,Perfume Genius,Put Your Back N 2 It,GB7TY1102002
