Track name,Artist name,Album,Playlist name,Type,ISRC
Time,Tom Waits,Rain Dogs,Favorite Songs,Favorite,USIR28500399
Through The Dark,Alexi Murdoch,Towards The Sun,Favorite Songs,Favorite,DED621000529
A Slow Parade,A.A. Bondy,When the Devil's Loose,Favorite Songs,Favorite,USFP70919803
Kiss,Scout Niblett,This Fool Can Die Now,Favorite Songs,Favorite,GBBNZ0700042
Keep Me in Your Heart,Warren Zevon,The Wind,Favorite Songs,Favorite,USAR50311099
Happiness,Grant Lee Buffalo,Mighty Joe Moon,Favorite Songs,Favorite,GBANC9400042
Hallelujah,Jeff Buckley,Grace,Favorite Songs,Favorite,USSM19400915
Stranger In A Strange Land,Leon Russell,Leon Russell And The Shelter People (Bonus Tracks),Favorite Songs,Favorite,USSH48900002
Colors,Amos Lee,Amos Lee,Favorite Songs,Favorite,USBN20400573
Summer's End,John Prine,The Tree of Forgiveness,Favorite Songs,Favorite,USA2A1804604
If We Have Each Other,Alec Benjamin,Narrated For You,Favorite Songs,Favorite,USAT21804357
Pain in My Heart,Otis Redding,Soul Manifesto: 1964-1970,Favorite Songs,Favorite,USAT10000010
Orange Sky,Alexi Murdoch,Four Songs,Favorite Songs,Favorite,US4B80400002
Lost Song,Ólafur Arnalds,Found Songs,Favorite Songs,Favorite,GBWZD0901705
So Far,Ólafur Arnalds,Broadchurch (Music From The Original TV Series),Favorite Songs,Favorite,GBUM71406782
Cigarette Daydreams,Cage The Elephant,Melophobia,Favorite Songs,Favorite,USRC11301169
Euphoria,Motopony,Motopony,Favorite Songs,Favorite,USW3R1000028
A Soft Place To Land,Kathleen Edwards,Voyageur,Favorite Songs,Favorite,USZO11114503
Black Moon,Wilco,The Whole Love (Deluxe Edition),Favorite Songs,Favorite,USEP41120006
Be the Song,Foy Vance,Be the Song,Favorite Songs,Favorite,TCABD1264943
Simply Human,Morgan Taylor Reid,Simply Human,Favorite Songs,Favorite,USTCG1094902
Waking Life,Schuyler Fisk,Waking Life - Single,Favorite Songs,Favorite,USXAN1000026
Re: Stacks,Bon Iver,"For Emma, Forever Ago",Favorite Songs,Favorite,US38Y0811509
Holocene,Bon Iver,Bon Iver,Favorite Songs,Favorite,US38Y1113503
Passing Afternoon,Iron & Wine,Our Endless Numbered Days,Favorite Songs,Favorite,USSUB0400105
Heaven,Avicii,TIM,Favorite Songs,Favorite,SE5R71900203
Wake Me Up,Avicii,True,Favorite Songs,Favorite,SEUM71301326
The Nights,Avicii,The Days / Nights,Favorite Songs,Favorite,CH3131340464
SOS (feat. Aloe Blacc),Avicii,TIM,Favorite Songs,Favorite,SE5R71900201
Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),Favorite Songs,Favorite,SE5R71700101
Pale Blue Eyes,The Velvet Underground,The Velvet Underground (45th Anniversary / Deluxe Edition),Favorite Songs,Favorite,USPR36909016
Thank You for the Offer,Chip Taylor,In Sympathy of a Heartbreak,Favorite Songs,Favorite,USYVC1907306
Come Home Safe,Trent Dabbs,Come Home Safe,Favorite Songs,Favorite,TCADJ1764319
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Favorite Songs,Favorite,USUM71815958
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Favorite Songs,Favorite,USUM71900764
everything i wanted,Billie Eilish,everything i wanted,Favorite Songs,Favorite,USUM71922577
No Time To Die,Billie Eilish,No Time To Die,Favorite Songs,Favorite,USUM72002771
Bashed Out,This Is The Kit,Bashed Out,Favorite Songs,Favorite,UST841504405
Shotgun,George Ezra,Staying at Tamara's,Favorite Songs,Favorite,GBARL1701372
5AM,Amber Run,5AM (Expanded Edition),Favorite Songs,Favorite,GBARL1400312
Cigarettes On Patios,BabyJake,Cigarettes On Patios,Favorite Songs,Favorite,USUM71904051
